iter	Passed	Remaining
602	5377	3540
603	5384	3530
604	5391	3520
605	5400	3511
606	5409	3502
607	5420	3494
608	5432	3487
609	5446	3481
610	5455	3473
611	5469	3467
612	5485	3463
613	5495	3455
614	5506	3447
615	5517	3439
616	5527	3431
617	5578	3448
618	5597	3445
619	5607	3436
620	5616	3427
621	5625	3418
622	5635	3409
623	5643	3400
624	5652	3391
625	5661	3382
626	5670	3373
627	5678	3363
628	5685	3353
629	5694	3344
630	5702	3334
631	5710	3325
632	5718	3315
633	5726	3305
634	5733	3295
635	5741	3286
636	5749	3276
637	5756	3266
638	5764	3256
639	5772	3246
640	5779	3236
641	5787	3227
642	5794	3217
643	5802	3207
644	5809	3197
645	5817	3187
646	5825	3178
647	5834	3169
648	5841	3159
649	5850	3150
650	5860	3141
651	5869	3132
652	5879	3124
653	5888	3115
654	5898	3106
655	5907	3097
656	5917	3089
657	5926	3080
658	5935	3071
659	5945	3062
660	5955	3054
661	5963	3044
662	5973	3036
663	5982	3027
664	5992	3018
665	6001	3009
666	6010	3000
667	6019	2991
668	6027	2982
669	6035	2972
670	6043	2963
671	6050	2953
672	6057	2943
673	6064	2933
674	6073	2924
675	6080	2914
676	6088	2904
677	6095	2894
678	6102	2885
679	6110	2875
680	6117	2865
681	6126	2856
682	6134	2847
683	6142	2837
684	6150	2828
685	6158	2818
686	6166	2809
687	6174	2799
688	6181	2790
689	6189	2780
690	6196	2770
691	6204	2761
692	6211	2751
693	6219	2742
694	6226	2732
695	6233	2722
696	6241	2713
697	6249	2703
698	6256	2693
699	6263	2684
700	6271	2674
701	6278	2665
702	6285	2655
703	6293	2646
704	6300	2636
705	6307	2626
706	6315	2617
707	6323	2608
708	6332	2598
709	6339	2589
710	6346	2579
711	6354	2570
712	6362	2560
713	6370	2551
714	6377	2542
715	6384	2532
716	6392	2522
717	6399	2513
718	6406	2503
719	6414	2494
720	6421	2485
721	6429	2475
722	6437	2466
723	6444	2456
724	6452	2447
725	6461	2438
726	6469	2429
727	6478	2420
728	6487	2411
729	6496	2402
730	6504	2393
731	6513	2384
732	6523	2376
733	6532	2367
734	6542	2358
735	6550	2349
736	6559	2340
737	6568	2331
738	6577	2323
739	6585	2313
740	6595	2305
741	6604	2296
742	6613	2287
743	6622	2278
744	6631	2269
745	6640	2260
746	6649	2251
747	6658	2243
748	6666	2234
749	6675	2225
750	6683	2216
751	6692	2207
752	6700	2197
753	6709	2188
754	6718	2180
755	6729	2171
756	6737	2162
757	6747	2154
758	6756	2145
759	6765	2136
760	6775	2127
761	6783	2118
762	6792	2109
763	6801	2100
764	6810	2092
765	6819	2083
766	6828	2074
767	6837	2065
768	6846	2056
769	6854	2047
770	6863	2038
771	6872	2029
772	6880	2020
773	6889	2011
774	6897	2002
775	6906	1993
776	6914	1984
777	6922	1975
778	6930	1966
779	6938	1956
780	6945	1947
781	6953	1938
782	6960	1929
783	6967	1919
784	6975	1910
785	6982	1900
786	6989	1891
787	6996	1882
788	7004	1873
789	7011	1863
790	7018	1854
791	7026	1845
